Arquivo,Formato,Tamanho original (bits),Tamanho comprimido (bits),Tamanho Dicionário,Qtd de bits por código,Taxa de compressão,Tempo de compressão (ms),Tempo Relativo (ms/kB)
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.324452,3.79830948182116
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.300315,3.7902137438584997
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.07325,3.7140543727481163
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.559109,3.8770152689158204
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.295702,3.788666507697347
functions.py,ascii,24424,12892,1427,11,1.8945082221532734,11.753647,3.942264830658369
functions.py,binary,24424,29256,2439,12,0.8348372983319661,128.47518,43.09157691451031
functions.py,binary,24424,29256,2439,12,0.8348372983319661,133.437599,44.75601093219784
functions.py,binary,24424,29256,2439,12,0.8348372983319661,130.570321,43.79430353881428
functions.py,binary,24424,29256,2439,12,0.8348372983319661,127.468221,42.753835016049784
functions.py,binary,24424,29256,2439,12,0.8348372983319661,127.403467,42.7321160196528
functions.py,binary,24424,29256,2439,12,0.8348372983319661,126.723835,42.504162148706186
functions.py,binary,24424,29256,2439,12,0.8348372983319661,128.453176,43.0841966013757
functions.py,binary,24424,29256,2439,12,0.8348372983319661,131.874587,44.23176452276449
functions.py,binary,24424,29256,2439,12,0.8348372983319661,145.419173,48.774724255486404
functions.py,binary,24424,29256,2439,12,0.8348372983319661,126.27916,42.35501468719293
functions.py,binary,24424,29256,2439,12,0.8348372983319661,129.303258,43.36932073108418
functions.py,binary,24424,29256,2439,12,0.8348372983319661,127.15674,42.64936186046511
functions.py,binary,24424,29256,2439,12,0.8348372983319661,127.117085,42.636061264330166
functions.py,binary,24424,29256,2439,12,0.8348372983319661,125.940553,42.241443259744514
functions.py,binary,24424,29256,2439,12,0.8348372983319661,128.015894,42.93752880969538
functions.py,binary,24424,29256,2439,12,0.8348372983319661,128.478557,43.0927095866361
functions.py,binary,24424,29256,2439,12,0.8348372983319661,127.624852,42.80637027448412
functions.py,binary,24424,29256,2439,12,0.8348372983319661,126.301809,42.36261133835572
functions.py,binary,24424,29256,2439,12,0.8348372983319661,130.201266,43.67051961480511
functions.py,binary,24424,29256,2439,12,0.8348372983319661,127.298423,42.69688344317065
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.792883,4.176430160463193
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.521201,4.09972699862145
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,31.120262,8.786089960849187
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.10922,3.983413642128481
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.838772,4.189385863799283
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.438722,4.0764409506479184
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.476876,4.087212854700855
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.271234,4.029154567411084
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.648669,4.135714655638268
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.235519,4.019071258891646
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.348437,4.0509510581748005
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.296364,4.036249444720155
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.558855,4.110357739178384
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.194344,4.007446444995864
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.251488,4.023579738626965
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.230274,4.017590453818583
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.647824,4.135476089330025
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,15.116499,4.2677956923076925
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.622699,4.128382623655914
lzw.py,ascii,29016,13134,1449,11,2.2092279579716765,14.852642,4.193301739178384
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,178.898005,50.507735627240145
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,181.164043,51.14749931954783
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,196.783471,55.55728544361731
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,178.564273,50.413514075544526
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,176.425522,49.8096869390681
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,177.565219,50.131454164874555
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,174.621738,49.30043002812241
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,180.474896,50.95293451998897
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,177.359633,50.07341168789633
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,178.051664,50.268790718500135
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,180.068776,50.83827588199615
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,178.652767,50.43849832037497
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,177.49159,50.11066671078026
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,176.361248,49.79154065398401
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,179.377988,50.64324778384339
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,194.876378,55.01886161345464
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,175.564826,49.56668922635787
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,183.809943,51.894508307692305
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,176.458278,49.8189348420182
lzw.py,binary,29016,30828,2570,12,0.9412222654729466,183.487587,51.80349850785773
trie.py,ascii,99392,38316,3448,12,2.594007725232279,53.052059,4.372610142949131
trie.py,ascii,99392,38316,3448,12,2.594007725232279,52.179027,4.3006538673535095
trie.py,ascii,99392,38316,3448,12,2.594007725232279,53.468407,4.40692601159047
trie.py,ascii,99392,38316,3448,12,2.594007725232279,53.92947,4.444927340631037
trie.py,ascii,99392,38316,3448,12,2.594007725232279,53.675292,4.423977705086928
trie.py,ascii,99392,38316,3448,12,2.594007725232279,52.255705,4.306973754024469
trie.py,ascii,99392,38316,3448,12,2.594007725232279,70.832798,5.838118573084353
trie.py,ascii,99392,38316,3448,12,2.594007725232279,53.394698,4.400850833226014
trie.py,ascii,99392,38316,3448,12,2.594007725232279,52.276276,4.308669238892467
trie.py,ascii,99392,38316,3448,12,2.594007725232279,53.334796,4.395913643271088
trie.py,ascii,99392,38316,3448,12,2.594007725232279,52.901391,4.360191917578879
trie.py,ascii,99392,38316,3448,12,2.594007725232279,52.09466,4.293700244687701
trie.py,ascii,99392,38316,3448,12,2.594007725232279,53.004219,4.3686671165486155
trie.py,ascii,99392,38316,3448,12,2.594007725232279,53.9013,4.442605537669028
trie.py,ascii,99392,38316,3448,12,2.594007725232279,52.491388,4.326399010946555
trie.py,ascii,99392,38316,3448,12,2.594007725232279,52.395316,4.3184806490663235
trie.py,ascii,99392,38316,3448,12,2.594007725232279,71.873834,5.92392192659369
trie.py,ascii,99392,38316,3448,12,2.594007725232279,54.220518,4.468915842884739
trie.py,ascii,99392,38316,3448,12,2.594007725232279,52.564234,4.332403059884095
trie.py,ascii,99392,38316,3448,12,2.594007725232279,53.373633,4.399114632324533
trie.py,binary,99392,91078,7007,13,1.0912843935966974,754.499147,62.186665045717966
trie.py,binary,99392,91078,7007,13,1.0912843935966974,751.857188,61.96891182485511
trie.py,binary,99392,91078,7007,13,1.0912843935966974,774.523813,63.83712045331616
trie.py,binary,99392,91078,7007,13,1.0912843935966974,760.614462,62.69069615969092
trie.py,binary,99392,91078,7007,13,1.0912843935966974,764.815003,63.03690945524791
trie.py,binary,99392,91078,7007,13,1.0912843935966974,752.680228,62.0367477037991
trie.py,binary,99392,91078,7007,13,1.0912843935966974,747.192257,61.58442298518996
trie.py,binary,99392,91078,7007,13,1.0912843935966974,762.69515,62.86218879587894
trie.py,binary,99392,91078,7007,13,1.0912843935966974,744.259423,61.342695520927236
trie.py,binary,99392,91078,7007,13,1.0912843935966974,749.412558,61.767422681262076
trie.py,binary,99392,91078,7007,13,1.0912843935966974,747.709848,61.627083415325174
trie.py,binary,99392,91078,7007,13,1.0912843935966974,767.667516,63.272016772698
trie.py,binary,99392,91078,7007,13,1.0912843935966974,747.521391,61.61155057823567
trie.py,binary,99392,91078,7007,13,1.0912843935966974,752.494774,62.021462377334196
trie.py,binary,99392,91078,7007,13,1.0912843935966974,761.843069,62.791959325177075
trie.py,binary,99392,91078,7007,13,1.0912843935966974,756.122057,62.32042710624598
trie.py,binary,99392,91078,7007,13,1.0912843935966974,771.685962,63.60322159433355
trie.py,binary,99392,91078,7007,13,1.0912843935966974,749.114131,61.74282599356086
trie.py,binary,99392,91078,7007,13,1.0912843935966974,758.394538,62.507727536381196
trie.py,binary,99392,91078,7007,13,1.0912843935966974,755.492064,62.268502377334194
